Product ID,Category,Sub-Category,Product Name,New Product ID
OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",OFF-AP-10001492-Acco Six-Out
FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",FUR-CH-10002774-Global Delux
OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,OFF-BI-10001634-Wilson Jones
TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,TEC-AC-10003027-Imation 8GB
FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",FUR-BO-10004834-Riverside Pa
OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,OFF-BI-10000474-Avery Recycl
FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",FUR-FU-10004848-Howard Mille
OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,OFF-EN-10001509-Poly String 
OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",OFF-AR-10004042-BOSTON Model
OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",OFF-BI-10001525-Acco Pressbo
OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,OFF-AR-10001683-Lumber Crayo
OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,OFF-PA-10000249-Easy-staple 
TEC-PH-10004977,Technology,Phones,GE 30524EE4,TEC-PH-10004977-GE 30524EE4
FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",FUR-FU-10003664-Electrix Arc
OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes","OFF-EN-10002986-#10-4 1/8"" x"
FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",FUR-BO-10002545-Atlantic Met
FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",FUR-CH-10004218-Global Fabri
TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,TEC-PH-10000486-Plantronics 
TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,TEC-PH-10004093-Panasonic Kx
OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",OFF-ST-10003479-Eldon Base f
OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",OFF-ST-10003282-Advantus 10-
TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",TEC-AC-10000171-Verbatim 25 
OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,OFF-BI-10003291-Wilson Jones
OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",OFF-ST-10001713-Gould Plasti
TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,TEC-AC-10002167-Imation 8gb
TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",TEC-PH-10003988-LF Elite 3D 
OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",OFF-BI-10004410-C-Line Peel 
OFF-LA-10002762,Office Supplies,Labels,Avery 485,OFF-LA-10002762-Avery 485
FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,FUR-FU-10001706-Longer-Life 
FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",FUR-CH-10003061-Global Leath
OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,OFF-FA-10000304-Advantus Pus
TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,TEC-PH-10002447-AT&T CL83451
OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,OFF-ST-10000604-Home/Office 
OFF-PA-10001569,Office Supplies,Paper,Xerox 232,OFF-PA-10001569-Xerox 232
FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,FUR-CH-10003968-Novimex Turb
OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",OFF-PA-10000587-Array Parchm
OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,OFF-BI-10001460-Plastic Bind
OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,OFF-AR-10001868-Prang Dustle
TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",TEC-AC-10004633-Verbatim 25 
OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",OFF-BI-10001078-Acco PRESSTE
OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,OFF-PA-10003892-Xerox 1943
FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,FUR-FU-10000397-Luxo Economy
FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",FUR-CH-10001146-Global Value
OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",OFF-AR-10002671-Hunt BOSTON 
TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,TEC-PH-10002726-netTALK DUO 
OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",OFF-PA-10000482-Snap-A-Way B
OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,OFF-BI-10004654-Avery Bindin
OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",OFF-PA-10004675-Telephone Me
FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,FUR-CH-10000513-High-Back Le
FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",FUR-FU-10003708-Tenex Tradit
OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,OFF-ST-10004123-Safco Indust
OFF-BI-10004182,Office Supplies,Binders,Economy Binders,OFF-BI-10004182-Economy Bind
FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black","FUR-FU-10000260-6"" Cubicle W"
OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",OFF-ST-10000615-SimpliFile P
FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",FUR-FU-10003194-Eldon Expres
OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",OFF-AP-10002118-1.7 Cubic Fo
OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,OFF-BI-10002309-Avery Heavy-
OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",OFF-AR-10002053-Premium Writ
OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",OFF-ST-10002370-Sortfiler Mu
OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,OFF-EN-10000927-Jet-Pak Recy
OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,OFF-ST-10003656-Safco Indust
FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,FUR-CH-10000863-Novimex Swiv
TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,TEC-AC-10001998-Logitech LS
OFF-LA-10000134,Office Supplies,Labels,Avery 511,OFF-LA-10000134-Avery 511
OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,OFF-ST-10003442-Eldon Portab
OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,OFF-AR-10004930-Turquoise Le
OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,OFF-PA-10000304-Xerox 1995
OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,OFF-PA-10003177-Xerox 1999
FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",FUR-FU-10003799-Seth Thomas 
OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,OFF-BI-10002852-Ibico Standa
OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,OFF-BI-10004738-Flexible Lea
FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,FUR-FU-10000629-9-3/4 Diamet
OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,OFF-BI-10001721-Trimflex Fle
OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,OFF-AP-10000358-Fellowes Bas
OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,OFF-PA-10003256-Avery Person
TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,TEC-AC-10001767-SanDisk Ultr
OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,OFF-BI-10002609-Avery Hidden
OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),OFF-PA-10004040-Universal Pr
TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,TEC-AC-10001552-Logitech K35
FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",FUR-FU-10004006-Deflect-o Du
OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",OFF-BI-10002794-Avery Trapez
TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,TEC-AC-10003499-Memorex Mini
TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,TEC-PH-10002844-Speck Produc
OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,OFF-AR-10000390-Newell Chalk
TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,TEC-AC-10000844-Logitech Ga
FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,FUR-FU-10001934-Magnifier Sw
OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",OFF-AR-10000380-Hunt PowerHo
OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",OFF-BI-10003981-Avery Durabl
OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",OFF-FA-10000621-OIC Colored 
OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",OFF-EN-10002600-Redi-Strip #
OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,OFF-PA-10004965-Xerox 1921
OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",OFF-EN-10002504-Tyvek  Top-O
FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,FUR-TA-10001768-Hon Racetrac
OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,OFF-BI-10003650-GBC DocuBind
FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,FUR-FU-10002157-Artistic Ins
OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",OFF-ST-10000777-Companion Le
OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,OFF-EN-10002500-Globe Weis P
TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,TEC-PH-10003875-KLD Oscar II
FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,FUR-CH-10004063-Global Delux
FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,FUR-TA-10004534-Bevis 44 x 9
OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",OFF-BI-10003274-Avery Durabl
OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",OFF-ST-10002974-Trav-L-File 
FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",FUR-CH-10001146-Global Task 
FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,FUR-FU-10003773-Eldon Cleatm
TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,TEC-PH-10002293-Anker 36W 4-
OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,OFF-PA-10002377-Xerox 1916
OFF-FA-10002780,Office Supplies,Fasteners,Staples,OFF-FA-10002780-Staples
OFF-PA-10001804,Office Supplies,Paper,Xerox 195,OFF-PA-10001804-Xerox 195
OFF-PA-10001736,Office Supplies,Paper,Xerox 1880,OFF-PA-10001736-Xerox 1880
OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",OFF-AR-10001149-Sanford Colo
OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,OFF-FA-10002988-Ideal Clamps
OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,OFF-BI-10004781-GBC Wire Bin
OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors,OFF-SU-10001218-Fiskars Soft
OFF-AR-10000940,Office Supplies,Art,Newell 343,OFF-AR-10000940-Newell 343
OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,OFF-EN-10004030-Convenience 
OFF-PA-10004327,Office Supplies,Paper,Xerox 1911,OFF-PA-10004327-Xerox 1911
OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,OFF-AP-10001058-Sanyo 2.5 Cu
FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",FUR-FU-10000521-Seth Thomas 
TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,TEC-PH-10000215-Plantronics 
TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,TEC-PH-10001448-Anker Astro 
OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,OFF-BI-10002735-GBC Prestige
OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,OFF-AP-10000326-Belkin 7 Out
TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,TEC-PH-10001254-Jabra BIZ 23
OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,OFF-PA-10001950-Southworth 2
OFF-PA-10002254,Office Supplies,Paper,Xerox 1883,OFF-PA-10002254-Xerox 1883
OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",OFF-ST-10001590-Tenex Person
OFF-AR-10001547,Office Supplies,Art,Newell 311,OFF-AR-10001547-Newell 311
OFF-LA-10002475,Office Supplies,Labels,Avery 519,OFF-LA-10002475-Avery 519
TEC-PH-10004536,Technology,Phones,Avaya 5420 Digital phone,TEC-PH-10004536-Avaya 5420 D
OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,OFF-PA-10002751-Xerox 1920
TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,TEC-AC-10003657-Lenovo 17-Ke
OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,OFF-EN-10001990-Staple envel
OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,OFF-BI-10004002-Wilson Jones
OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters,OFF-AR-10004441-BIC Brite Li
TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,TEC-MA-10000822-Lexmark MX61
OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,OFF-ST-10000991-Space Soluti
FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair,FUR-CH-10004287-SAFCO Arco F
OFF-AR-10002656,Office Supplies,Art,Sanford Liquid Accent Highlighters,OFF-AR-10002656-Sanford Liqu
OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,OFF-AP-10002518-Kensington 7
TEC-PH-10003931,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,TEC-PH-10003931-JBL Micro Wi
OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",OFF-PA-10000659-Adams Phone 
OFF-PA-10001144,Office Supplies,Paper,Xerox 1913,OFF-PA-10001144-Xerox 1913
FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray",FUR-CH-10003817-Global Value
OFF-AP-10000891,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,OFF-AP-10000891-Kensington 7
OFF-LA-10003148,Office Supplies,Labels,Avery 51,OFF-LA-10003148-Avery 51
OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",OFF-AP-10002684-Acco 7-Outle
FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",FUR-CH-10004698-Padded Foldi
OFF-SU-10002189,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,OFF-SU-10002189-Acme Rosewoo
OFF-AR-10001940,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",OFF-AR-10001940-Sanford Colo
OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",OFF-ST-10003455-Tenex File B
TEC-AC-10004659,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,TEC-AC-10004659-Imation Sec
TEC-PH-10003273,Technology,Phones,AT&T TR1909W,TEC-PH-10003273-AT&T TR1909W
TEC-PH-10004896,Technology,Phones,Nokia Lumia 521 (T-Mobile),TEC-PH-10004896-Nokia Lumia 
TEC-AC-10002345,Technology,Accessories,HP Standard 104 key PS/2 Keyboard,TEC-AC-10002345-HP Standard 
OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets,OFF-BI-10001890-Avery Poly B
TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,TEC-AC-10002323-SanDisk Ultr
OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",OFF-ST-10001328-Personal Fil
FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",FUR-BO-10002613-Atlantic Met
TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,TEC-PH-10001552-I Need's 3d 
OFF-PA-10000061,Office Supplies,Paper,Xerox 205,OFF-PA-10000061-Xerox 205
OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,OFF-AR-10003514-4009 Highlig
OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",OFF-AR-10004685-Binney & Smi
OFF-AR-10004027,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",OFF-AR-10004027-Binney & Smi
OFF-ST-10001414,Office Supplies,Storage,Decoflex Hanging Personal Folder File,OFF-ST-10001414-Decoflex Han
OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",OFF-BI-10000343-Pressboard C
OFF-PA-10002749,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",OFF-PA-10002749-Wirebound Me
OFF-PA-10002666,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,OFF-PA-10002666-Southworth 2
FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,FUR-TA-10004289-BoxOffice By
OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",OFF-AP-10003622-Bravo II Meg
OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright,OFF-AP-10003217-Eureka Sanit
FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",FUR-FU-10002960-Eldon 200 Cl
TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone,TEC-PH-10001918-Nortel Busin
OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray",OFF-ST-10000642-Tennsco Lock
TEC-PH-10001700,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,TEC-PH-10001700-Panasonic KX
OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",OFF-FA-10000134-Advantus Pus
OFF-ST-10001522,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",OFF-ST-10001522-Gould Plasti
TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,TEC-AC-10001266-Memorex Micr
OFF-LA-10004544,Office Supplies,Labels,Avery 505,OFF-LA-10004544-Avery 505
FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,FUR-BO-10004695-O'Sullivan 2
TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,TEC-MA-10000864-Cisco 9971 I
TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,TEC-AC-10000109-Sony Micro V
TEC-PH-10002563,Technology,Phones,Adtran 1202752G1,TEC-PH-10002563-Adtran 12027
OFF-FA-10000585,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips,OFF-FA-10000585-OIC Bulk Pac
OFF-PA-10004000,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",OFF-PA-10004000-While You We
FUR-FU-10000087,Furniture,Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock",FUR-FU-10000087-Executive Im
TEC-MA-10001148,Technology,Machines,Swingline SM12-08 MicroCut Jam Free Shredder,TEC-MA-10001148-Swingline SM
OFF-AR-10001958,Office Supplies,Art,Stanley Bostitch Contemporary Electric Pencil Sharpeners,OFF-AR-10001958-Stanley Bost
OFF-AR-10001026,Office Supplies,Art,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",OFF-AR-10001026-Sanford Uni-
FUR-TA-10003748,Furniture,Tables,Bevis 36 x 72 Conference Tables,FUR-TA-10003748-Bevis 36 x 7
OFF-ST-10002485,Office Supplies,Storage,Rogers Deluxe File Chest,OFF-ST-10002485-Rogers Delux
FUR-CH-10004860,Furniture,Chairs,Global Low Back Tilter Chair,FUR-CH-10004860-Global Low B
FUR-CH-10004477,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",FUR-CH-10004477-Global Push 
OFF-BI-10001679,Office Supplies,Binders,GBC Instant Index System for Binding Systems,OFF-BI-10001679-GBC Instant 
FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table,FUR-TA-10001705-Bush Advanta
FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,FUR-TA-10003473-Bretford Rec
FUR-FU-10004017,Furniture,Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",FUR-FU-10004017-Tenex Contem
TEC-AC-10003832,Technology,Accessories,Logitech P710e Mobile Speakerphone,TEC-AC-10003832-Logitech P7
